# BEAST v1.8.3
# Generated Tue Jul 19 10:06:23 EST 2016 [seed=1468886782485]
# -overwrite -beagle_off concat_clock_genes.xml
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1321738.5565077742	-91.09273287267337	-1321647.4637749016	627991.2308695684	480000.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0E-5	9.999999999999999E-6	-1321647.4637749016	0.0	-70.09506803169823
10000	-509436.06792522065	-71.09815138895833	-509364.96977383166	948541.7986048198	227631.86372552568	2.348404792782747	0.2660072999678502	0.24510665911732638	0.2298072186900215	0.25907882222480183	1.4294798748819924E-7	1.4294798748819924E-7	-509364.96977383166	0.0	-71.06808542145137
20000	-509382.8173111758	-68.09183377854606	-509314.72547739727	616882.2632632323	233985.86484413117	2.336265308641657	0.2660072999678502	0.25508541637448834	0.21982846143285956	0.25907882222480183	2.208317865808719E-7	2.208317865808719E-7	-509314.72547739727	0.0	-67.60382900977025
30000	-508978.790093111	-69.69465508764691	-508909.09543802333	710298.3692936363	165332.80732721905	2.336265308641657	0.2682344539262867	0.25508541637448834	0.21760130747442305	0.25907882222480183	1.9193467924085872E-7	1.9193467924085872E-7	-508909.09543802333	0.0	-69.69527890610428
40000	-503998.5718197945	-68.81701782254669	-503929.75480197195	693935.3751001605	307823.1071056199	2.3493178494646125	0.2790316583965148	0.2370446252337321	0.2060416400869175	0.27788207628283557	1.99600583000787E-7	1.99600583000787E-7	-503929.75480197195	0.0	-68.15342856284977
50000	-501911.58695837844	-69.85304967327468	-501841.7339087052	813777.9492022196	242679.6541938865	2.413166006455351	0.29328884736449845	0.22960685816597376	0.1992222181866922	0.27788207628283557	1.6917914495838972E-7	1.6917914495838972E-7	-501841.7339087052	0.0	-69.56828196519879
60000	-498578.2526728734	-69.36465929805013	-498508.88801357534	757035.831499885	246647.12387204525	2.413166006455351	0.3010489485375323	0.2028377871321926	0.19855255598395613	0.2975607083463189	1.8205541828006163E-7	1.8205541828006163E-7	-498508.88801357534	0.0	-68.99035221407676
70000	-496574.8162751891	-67.9883115274941	-496506.82796366164	592568.6436863709	194018.8930481979	2.5419578627607757	0.31123839440299456	0.21002276905359088	0.17287094059212704	0.30586789595128744	2.3407865005710997E-7	2.3407865005710997E-7	-496506.82796366164	0.0	-67.5536348533116
80000	-495433.16239456274	-69.17416020272434	-495363.98823436	692147.519817062	375504.9328808212	2.541516046560822	0.320353183261968	0.1958434439257764	0.17441985253896014	0.3093835202732954	2.012921247263514E-7	2.0129212472635143E-7	-495363.98823436	0.0	-68.2309384358522
90000	-495376.5768465575	-68.77031762437406	-495307.8065289331	680207.813688529	292078.51057920494	2.553912043867901	0.31999800152216357	0.19513580991045598	0.17441985253896014	0.31044633602842026	2.04601779416141E-7	2.0460177941614097E-7	-495307.8065289331	0.0	-68.05738719258585
100000	-492865.5832265124	-70.81058751521313	-492794.7726389972	869707.4985221663	562350.941328225	2.6368666932998903	0.3411819342885739	0.17302452042388214	0.15055759162858706	0.3352359536589568	1.5920515379322227E-7	1.5920515379322227E-7	-492794.7726389972	0.0	-69.66227129841315
110000	-492745.72946784634	-68.44297490139189	-492677.2864929449	601382.431848177	325793.8789007806	2.6368666932998903	0.3411819342885739	0.1690925319151397	0.14937423425290183	0.34035129954338444	2.296530820735788E-7	2.296530820735788E-7	-492677.2864929449	0.0	-67.47242178476881
120000	-492572.93798231974	-68.0991942194894	-492504.8387881002	589413.6907390603	274097.2242763771	2.65931459640248	0.35759654611359865	0.16372127136457063	0.1433055458565838	0.3353766366652468	2.3267989457649587E-7	2.326798945764959E-7	-492504.8387881002	0.0	-67.27904118640075
130000	-492530.1339602285	-72.12180479874655	-492458.01215542975	933469.8511380134	827915.615577757	2.6990676145108248	0.3562064145631015	0.15900842522573252	0.14260316661608466	0.3421819935950812	1.4611897124516687E-7	1.4611897124516687E-7	-492458.01215542975	0.0	-70.64670526929436
140000	-492527.0722872126	-68.56534450077436	-492458.5069427118	657082.6286460822	237517.21283716446	2.6875909312811994	0.3562064145631015	0.15900842522573252	0.14260316661608466	0.3421819935950812	2.0847785528811704E-7	2.0847785528811704E-7	-492458.5069427118	0.0	-67.98824549356549
150000	-492528.1188570727	-71.94075761323246	-492456.1780994595	752317.8604347288	852098.1426112172	2.683875640685701	0.3562064145631015	0.15900842522573252	0.1387551508226387	0.34603000938852724	1.82460383932484E-7	1.8246038393248395E-7	-492456.1780994595	0.0	-70.22092449496506
160000	-492520.7848135671	-68.77234107795323	-492452.01247248915	681773.5272776361	278354.18373601773	2.683875640685701	0.3556834153371108	0.15986796678294377	0.1409782448266715	0.3434703730532739	2.0285698468143872E-7	2.0285698468143874E-7	-492452.01247248915	0.0	-68.0665283756174
170000	-492521.29199643456	-69.24774012062777	-492452.04425631394	606782.200784659	127100.04713814394	2.683875640685701	0.3556546704779943	0.15986796678294377	0.1409782448266715	0.34349911791239035	2.245926065033882E-7	2.245926065033882E-7	-492452.04425631394	0.0	-69.22166204895863
180000	-492527.9712091606	-75.31724666182225	-492452.65396249876	692899.7455780186	1768044.9955357488	2.6890633998461144	0.3558201118974121	0.15986796678294377	0.1409782448266715	0.3433336764929726	1.9726739025014058E-7	1.9726739025014058E-7	-492452.65396249876	0.0	-72.7869297856927
190000	-492520.3650933876	-69.32474197772832	-492451.0403514099	666763.3503430886	418330.49767180707	2.6890633998461144	0.3558201118974121	0.15973855636903436	0.1392141801883641	0.3452271515451894	2.049116875115218E-7	2.049116875115218E-7	-492451.0403514099	0.0	-68.19723541682917
200000	-492519.35229242704	-69.94469168239013	-492449.4076007446	691251.374708811	499393.5563832832	2.7447886378066575	0.35425316277562097	0.15973855636903436	0.14078112931015518	0.3452271515451894	1.9789615689974807E-7	1.9789615689974807E-7	-492449.4076007446	0.0	-68.65519382510271
210000	-492525.7819932074	-70.82569775516023	-492454.95629545226	1007750.974342075	359871.7615626559	2.74904885571249	0.3548924293393417	0.15900477674332578	0.14078112931015518	0.3453216646071773	1.365887282753787E-7	1.3658872827537872E-7	-492454.95629545226	0.0	-70.23452224856855
220000	-492519.167701963	-68.977142270251	-492450.19055969274	698164.4530292512	220223.91046416195	2.74904885571249	0.3550888316157806	0.16069706044201051	0.1396520929720712	0.34456201497013755	1.9683821355928E-7	1.9683821355928004E-7	-492450.19055969274	0.0	-68.51094163659194
230000	-492521.4153595851	-70.07296261213752	-492451.34239697293	867907.7502156468	293774.8414154297	2.7275419162207015	0.3550888316157806	0.16069706044201051	0.1396520929720712	0.34456201497013755	1.5820549746743006E-7	1.5820549746743006E-7	-492451.34239697293	0.0	-69.54519400543141
240000	-492521.3744532889	-70.76249414184579	-492450.6119591471	671930.5733142094	650738.8832098182	2.7275419162207015	0.35497400081753383	0.16069706044201051	0.1396520929720712	0.3446768457683843	2.0428564510023535E-7	2.042856451002353E-7	-492450.6119591471	0.0	-69.18291354533895
250000	-492518.9607815317	-68.85009101547656	-492450.11069051625	691911.3218297545	252439.97885235917	2.7275419162207015	0.35497400081753383	0.16069706044201051	0.1396520929720712	0.3446768457683843	1.9874106768695142E-7	1.9874106768695142E-7	-492450.11069051625	0.0	-68.24572988125233
260000	-492518.67403640394	-69.60816694941308	-492449.0658694545	666110.6510718738	456088.18281946424	2.7275419162207015	0.35497400081753383	0.16069706044201051	0.1400315721288174	0.3442973666116381	2.0503351654094017E-7	2.0503351654094017E-7	-492449.0658694545	0.0	-68.3801366717035
270000	-492518.4276553825	-69.48930386509102	-492448.9383515174	774617.5355931122	259048.23761237506	2.736670389184976	0.35497400081753383	0.16069706044201051	0.1400315721288174	0.3442973666116381	1.77095250097869E-7	1.7709525009786898E-7	-492448.9383515174	0.0	-68.97096505331932
280000	-492525.1363936579	-74.96845251408426	-492450.1679411438	919100.1671571344	1630766.0190486247	2.736670389184976	0.35497400081753383	0.16069706044201051	0.1400315721288174	0.3442973666116381	1.490649708770009E-7	1.4906497087700094E-7	-492450.1679411438	0.0	-72.78251200967004
290000	-492519.4133920878	-69.00369349497701	-492450.4096985928	645015.9519096154	155958.07878076853	2.736670389184976	0.35497400081753383	0.16069706044201051	0.1400315721288174	0.3442973666116381	2.118891184771162E-7	2.1188911847711617E-7	-492450.4096985928	0.0	-68.81205385839186
300000	-492517.97580307466	-69.22809870078343	-492448.7477043739	740777.6602140182	256245.01428332602	2.736670389184976	0.35497400081753383	0.16069706044201051	0.1400315721288174	0.3442973666116381	1.838127534577308E-7	1.838127534577308E-7	-492448.7477043739	0.0	-68.68211709323775
310000	-492521.31400608976	-70.39813503787302	-492450.9158710519	812680.2673708915	191310.9183070609	2.7452056871957478	0.35497400081753383	0.1599660656747766	0.14076256689605132	0.3442973666116381	1.6963067410164033E-7	1.696306741016403E-7	-492450.9158710519	0.0	-70.2233812998095
320000	-492517.7771482114	-69.16964274101265	-492448.60750547034	694559.3041948524	361137.0746902539	2.726100765814798	0.3552642682325571	0.1599660656747766	0.1404722994810281	0.3442973666116381	1.973248179187368E-7	1.9732481791873685E-7	-492448.60750547034	0.0	-68.21422906823427
330000	-492519.0584785595	-69.60876374927551	-492449.4497148102	717926.9613308448	424761.09760013066	2.7360846858163046	0.3552642682325571	0.1599660656747766	0.1404722994810281	0.3442973666116381	1.907976178319096E-7	1.907976178319096E-7	-492449.4497148102	0.0	-68.52088958672624
340000	-492518.8602871571	-68.90810502339018	-492449.95218213374	666529.5642842324	343814.9929533877	2.7360846858163046	0.35431724207819965	0.1599660656747766	0.1404722994810281	0.34524439276599556	2.062279638784248E-7	2.062279638784248E-7	-492449.95218213374	0.0	-67.9538600783776
350000	-492520.510817864	-68.52877171911865	-492451.98204614484	644384.2643302747	271018.02084550395	2.7360846858163046	0.3547267617115398	0.15907588086794067	0.14095296465452387	0.34524439276599556	2.1029001780009588E-7	2.1029001780009588E-7	-492451.98204614484	0.0	-67.79152544895382
360000	-492520.1157565493	-70.25926980935496	-492449.85648673994	789003.0367819462	494685.82742337766	2.7360846858163046	0.3541132535560441	0.15968938902343632	0.14095296465452387	0.34524439276599556	1.7374924540838787E-7	1.7374924540838785E-7	-492449.85648673994	0.0	-69.11332333384809
370000	-492520.6930999126	-69.4858016147785	-492451.20729829784	765701.4866002577	337648.04374743346	2.746373956029764	0.35474852299064596	0.1590541195888345	0.14095296465452387	0.34524439276599556	1.788228047220967E-7	1.7882280472209674E-7	-492451.20729829784	0.0	-68.68884918051685
380000	-492528.668715686	-69.39780011680097	-492459.2709155692	616175.9327783423	458061.2221844677	2.746373956029764	0.35474852299064596	0.1590541195888345	0.13956249327256987	0.34663486414794953	2.2386185301827918E-7	2.238618530182792E-7	-492459.2709155692	0.0	-68.07092964872001
390000	-492521.02237907803	-68.84992701107058	-492452.17245206697	688833.2361577514	226451.9185571944	2.7300616913481535	0.35474852299064596	0.1590541195888345	0.13996908060946367	0.3462282768110557	1.9875228743914917E-7	1.9875228743914917E-7	-492452.17245206697	0.0	-68.35230667076877
400000	-492518.0934185754	-68.57688471304394	-492449.5165338624	654473.5890370482	281637.24827743124	2.7300616913481535	0.35474852299064596	0.16063392459852363	0.14037602369231364	0.3442415287185166	2.099850029405162E-7	2.0998500294051618E-7	-492449.5165338624	0.0	-67.80643782679076
410000	-492520.69234498177	-68.02491226446122	-492452.6674327173	591424.499192348	244589.51192912104	2.7308724712555525	0.35749199468002285	0.15964248278027438	0.14037602369231364	0.342489498847389	2.3097373892931393E-7	2.3097373892931388E-7	-492452.6674327173	0.0	-67.29894082363454
420000	-492522.32080025243	-69.25257988875163	-492453.0682203637	682293.2535325962	391151.8335142943	2.7308724712555525	0.35725448024822004	0.15964248278027438	0.14037602369231364	0.3427270132791918	2.025923958023594E-7	2.025923958023594E-7	-492453.0682203637	0.0	-68.19008355219015
430000	-492520.28257593577	-68.99312752331153	-492451.2894484124	698464.0474318912	299059.7401447205	2.7308724712555525	0.35628443986556996	0.1606125231629245	0.14037602369231364	0.3427270132791918	1.951931129571621E-7	1.9519311295716208E-7	-492451.2894484124	0.0	-68.2350866745475
440000	-492520.77065967774	-68.88518877850254	-492451.88547089923	672153.3593845326	330340.7081003717	2.7308724712555525	0.3559307603327985	0.1606104626976764	0.14037602369231364	0.3430827532772113	2.028189013905117E-7	2.0281890139051173E-7	-492451.88547089923	0.0	-67.98837887962483
450000	-492522.59459119034	-70.48688366044678	-492452.1077075299	750784.552511419	559098.2642257888	2.7308724712555525	0.3559307603327985	0.1606104626976764	0.14037602369231364	0.3430827532772113	1.812956882191603E-7	1.812956882191603E-7	-492452.1077075299	0.0	-69.1771353228217
460000	-492522.0510916477	-69.35989409369583	-492452.691197554	599473.410450563	456729.59121894103	2.722131555630833	0.3559307603327985	0.1606104626976764	0.1402960162342685	0.3431627607352565	2.30829461497765E-7	2.30829461497765E-7	-492452.691197554	0.0	-68.01538377315208
470000	-492521.8971042091	-70.79546636582606	-492451.1016378433	858204.9050182996	565909.0948622394	2.722131555630833	0.35547020427881465	0.1610710187516603	0.1402960162342685	0.3431627607352565	1.5860396934189995E-7	1.5860396934189998E-7	-492451.1016378433	0.0	-69.61005506089958
480000	-492527.5096558014	-72.53942763950046	-492454.9702281619	1141923.2721002416	830731.082710479	2.722131555630833	0.35547020427881465	0.1610710187516603	0.1402960162342685	0.3431627607352565	1.1910666075402379E-7	1.1910666075402377E-7	-492454.9702281619	0.0	-71.25696528395456
490000	-492524.201987375	-69.77045926328225	-492454.4315281117	744017.1616524847	191439.93368446548	2.722131555630833	0.35547020427881465	0.16068082509668558	0.1406862098892432	0.3431627607352565	1.820307674671664E-7	1.820307674671664E-7	-492454.4315281117	0.0	-69.53081045292598
500000	-492517.7614469647	-68.69481386948674	-492449.0666330952	676092.1853682789	254648.3485473829	2.722131555630833	0.35547020427881465	0.16068082509668558	0.1406862098892432	0.3431627607352565	2.0214630043001308E-7	2.0214630043001302E-7	-492449.0666330952	0.0	-68.06549793335941
510000	-492527.76621512737	-71.12271803217185	-492456.6434970952	1052210.9757619794	456814.0947707349	2.722131555630833	0.3552981887018964	0.15970694062100022	0.14183210994184683	0.3431627607352565	1.2904005782313745E-7	1.2904005782313748E-7	-492456.6434970952	0.0	-70.35795943476153
520000	-492521.28467377747	-72.4535701892604	-492448.8311035882	668185.6292241286	94914.00847244856	2.7256373084351737	0.35605046646245564	0.15970694062100022	0.13962810561857	0.34461448729797406	2.0449022961535333E-7	2.0449022961535333E-7	-492448.8311035882	0.0	-72.79849401668245
530000	-492518.855465556	-68.88752543427616	-492449.9679401217	621686.1702583806	147055.49464033198	2.7098238491132554	0.354411495714797	0.15970694062100022	0.1412670763662286	0.34461448729797406	2.1880183938868479E-7	2.1880183938868476E-7	-492449.9679401217	0.0	-68.73175264772124
